GeForce GTX 1080 Ti	cuda	network	resnet-18.B32	mx	default	{"costs" : [0.000449, 0.000449, 0.000448]}	1535783531.544229
GeForce GTX 1080 Ti	cuda	network	resnet-50.B32	mx	default	{"costs" : [0.001330, 0.001331, 0.001330]}	1535783553.1152902
GeForce GTX 1080 Ti	cuda	network	mobilenet.B32	mx	default	{"costs" : [0.000490, 0.000491, 0.000488]}	1535783582.0282147
GeForce GTX 1080 Ti	cuda	network	mobilenetv2.B32	mx	default	{"costs" : [0.000599, 0.000601, 0.000599]}	1535783615.8832948
GeForce GTX 1080 Ti	cuda	network	vgg-16.B32	mx	default	{"costs" : [0.002199, 0.002198, 0.002197]}	1535783650.0270333
GeForce GTX 1080 Ti	cuda	network	vgg-19.B32	mx	default	{"costs" : [0.002572, 0.002569, 0.002571]}	1535783685.1969724
GeForce GTX 1080 Ti	cuda	network	inception-v3.B32	mx	default	{"costs" : [0.001957, 0.001959, 0.001958]}	1535783715.9351938
GeForce GTX 1080 Ti	cuda	network	densenet-121.B32	mx	default	{"costs" : [0.001605, 0.001605, 0.001604]}	1535783743.0565212
GeForce GTX 1080 Ti	cuda	network	squeezenet_v1.0.B32	mx	default	{"costs" : [0.000559, 0.000558, 0.000557]}	1535783755.8958116
GeForce GTX 1080 Ti	cuda	network	squeezenet_v1.1.B32	mx	default	{"costs" : [0.000558, 0.000559, 0.000557]}	1535783768.0051453

GeForce GTX 1080 Ti	cuda	network	resnet-18.B8	mx	default	{"costs" : [0.000629, 0.000636, 0.000626]}	1535783779.3001037
GeForce GTX 1080 Ti	cuda	network	resnet-50.B8	mx	default	{"costs" : [0.001680, 0.001674, 0.001673]}	1535783799.044281
GeForce GTX 1080 Ti	cuda	network	mobilenet.B8	mx	default	{"costs" : [0.000612, 0.000603, 0.000609]}	1535783824.6743863
GeForce GTX 1080 Ti	cuda	network	mobilenetv2.B8	mx	default	{"costs" : [0.000775, 0.000780, 0.000780]}	1535783855.58129
GeForce GTX 1080 Ti	cuda	network	vgg-16.B8	mx	default	{"costs" : [0.002702, 0.002706, 0.002698]}	1535783885.3202488
GeForce GTX 1080 Ti	cuda	network	vgg-19.B8	mx	default	{"costs" : [0.003237, 0.003244, 0.003237]}	1535783917.3871512
GeForce GTX 1080 Ti	cuda	network	inception-v3.B8	mx	default	{"costs" : [0.002809, 0.002813, 0.002812]}	1535783947.439619
GeForce GTX 1080 Ti	cuda	network	densenet-121.B8	mx	default	{"costs" : [0.002261, 0.002260, 0.002255]}	1535783973.6364236
GeForce GTX 1080 Ti	cuda	network	squeezenet_v1.0.B8	mx	default	{"costs" : [0.000644, 0.000645, 0.000640]}	1535783985.078244
GeForce GTX 1080 Ti	cuda	network	squeezenet_v1.1.B8	mx	default	{"costs" : [0.000642, 0.000645, 0.000635]}	1535783996.0401607

GeForce GTX 1080 Ti	cuda	network	resnet-18.B4	mx	default	{"costs" : [0.000833, 0.000832, 0.000830]}	1535784006.7311678
GeForce GTX 1080 Ti	cuda	network	resnet-50.B4	mx	default	{"costs" : [0.002085, 0.002095, 0.002097]}	1535784024.3750076
GeForce GTX 1080 Ti	cuda	network	mobilenet.B4	mx	default	{"costs" : [0.000752, 0.000751, 0.000750]}	1535784046.766283
GeForce GTX 1080 Ti	cuda	network	mobilenetv2.B4	mx	default	{"costs" : [0.001001, 0.000988, 0.000969]}	1535784074.0472646
GeForce GTX 1080 Ti	cuda	network	vgg-16.B4	mx	default	{"costs" : [0.003258, 0.003263, 0.003261]}	1535784099.72773
GeForce GTX 1080 Ti	cuda	network	vgg-19.B4	mx	default	{"costs" : [0.003808, 0.003801, 0.003809]}	1535784126.4003966
GeForce GTX 1080 Ti	cuda	network	inception-v3.B4	mx	default	{"costs" : [0.004191, 0.004194, 0.004181]}	1535784156.1595764
GeForce GTX 1080 Ti	cuda	network	densenet-121.B4	mx	default	{"costs" : [0.003049, 0.003084, 0.003101]}	1535784180.6135368
GeForce GTX 1080 Ti	cuda	network	squeezenet_v1.0.B4	mx	default	{"costs" : [0.000737, 0.000739, 0.000712]}	1535784190.825004
GeForce GTX 1080 Ti	cuda	network	squeezenet_v1.1.B4	mx	default	{"costs" : [0.000728, 0.000728, 0.000714]}	1535784200.5950058

GeForce GTX 1080 Ti	cuda	network	resnet-18.B1	mx	default	{"costs" : [0.002048, 0.002070, 0.002043]}	1535784210.9012814
GeForce GTX 1080 Ti	cuda	network	resnet-50.B1	mx	default	{"costs" : [0.004833, 0.004795, 0.004794]}	1535784227.0291736
GeForce GTX 1080 Ti	cuda	network	mobilenet.B1	mx	default	{"costs" : [0.001501, 0.001503, 0.001503]}	1535784245.7068627
GeForce GTX 1080 Ti	cuda	network	mobilenetv2.B1	mx	default	{"costs" : [0.002293, 0.002312, 0.002312]}	1535784270.577187
GeForce GTX 1080 Ti	cuda	network	vgg-16.B1	mx	default	{"costs" : [0.005254, 0.005305, 0.005283]}	1535784289.7840188
GeForce GTX 1080 Ti	cuda	network	vgg-19.B1	mx	default	{"costs" : [0.006012, 0.006007, 0.006002]}	1535784308.8502202
GeForce GTX 1080 Ti	cuda	network	inception-v3.B1	mx	default	{"costs" : [0.012275, 0.012280, 0.012193]}	1535784340.2398407
